name,signal_category,total_signal_score,rsi,vorod_pol,buy_power
شپاكساح,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.2000000000000006,0,7,1.17
شلرد,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.2,52,3539,1.46
سخاش,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.2,54,3415,8.5
شپديس,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.2,54,118085,1.57
حسينا,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.2,49,9898,22.4
فصبا,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,60,3734,5.67
زگلدشت,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,68,4739,2.04
حگهر,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,58,1079,2.47
كرماشا,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,64,15290,2.28
پارس,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,62,9158,1.13
سجام,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,58,1115,7.3
فرابورس,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,67,60775,6.21
شوينده,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,63,2598,1.09
سغرب,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,65,5415,1.24
فسبزوار,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,57,9626,1.11
ميهن,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,65,6125,1.82
سيستم,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,61,2354,2.45
ثفارس,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,70,27361,1.25
شتوكا,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,59,8313,2.54
بورس,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ,2.0,68,24485,8.21
