id,name,tedad_kh_100,tedad_fo_100,tedad_kh_200,tedad_fo_200,tedad_kh_500,tedad_fo_500,akharin_gh,darsad_akarin,darsad_payani,vaziat,signal_tedad,signal_big_m,rsi,buy_power,vorod_pol,hajm_mashkok,hajm_emroz,hajm_diroz,hajm_2roz_ghabl,hajm_3roz_ghabl,miangin_mah,code_gr,pool_gr,group_name,vaziat2,gh_s,darsad_ta_s,taharok,kharid_hoshdar,forosh_hoshdar,tedad_kharidar,seraneh_kharid,kol_kharid,tedad_foroshamdeh,seraneh_forosh,kol_forosh,barayand_saraneh,barayand_kol,emtiaz_sahm,date_now,time,total_kh_big,total_fo_big,total_kh_big1,total_fo_big1,net_big_trades,buy_sell_ratio_100,buy_sell_ratio_200,buy_sell_ratio_500,kh_concentration,fo_concentration,volume_signal,money_flow_signal,rsi_signal,total_signal_score,signal_category
31879190587976736,خوساز,8,4,5,2,1,1,18040,2.97,2.8,صف خرید,0,0,72,1.61,0, حجم کم,51 %,38 % ,45 % ,84 % ,4685342,34,214831,خودرو و ساخت قطعات,فروش  متوسط rsi,0,0,تحرک_مثبت,2,1,9,352,3171,5,340,1702,12,1469,2.0,1405-06-04,12:27:50,8,4,5,2,4,1.6,1.6666666666666667,0.5,2.0,2.2,2,0,-3,0.29999999999999993,ﯽﺜﻨﺧ
66790687790437196,وگردش,15,6,9,1,0,0,1764,2.98,2.98,صف خرید,0,0,71,8.06,7056, حجم کم,12 %,25 % ,86 % ,114 % ,577616334,57,551430,بانكها و موسسات اعتباري,فروش  متوسط rsi,0,0,تحرک_مثبت,2,1,61,189,11536,7,168,1182,21,10354,2.0,1405-06-04,12:23:23,15,6,9,1,9,2.142857142857143,4.5,0.0,1.5,1.0,3,3,-3,1.6,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
65663173216130783,آواك,18,17,9,9,2,1,2668,2.97,2.93,صف خرید,0,0,72,3.68,1488,حجم متوسط1.74برابر,174 %,46 % ,89 % ,244 % ,33917469,73,-4741,اطلاعات و ارتباطات,فروش  متوسط rsi,0,0,تحرک_مثبت,3,0,43,258,11112,44,207,9146,51,1966,2.0,1405-06-04,12:26:43,18,17,9,9,1,1.0,0.9,1.0,1.9473684210526316,1.7222222222222223,1,3,-3,0.7999999999999997,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
64842837716888827,خكاوه,14,13,10,6,1,1,913,2.93,2.93,صف خرید,0,0,76,2.65,5012, حجم کم,37 %,112 % ,143 % ,241 % ,443749392,34,214831,خودرو و ساخت قطعات,فروش  متوسط rsi,0,0,تحرک_مثبت,0,3,43,234,10062,20,293,5861,-59,4201,2.0,1405-06-04,12:17:52,14,13,10,6,1,1.0,1.4285714285714286,0.5,1.9333333333333333,1.7142857142857142,1,3,-3,0.7999999999999997,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
2254054929817435,غدام,1,1,0,0,0,0,55980,3.0,3.0,صف خرید,0,0,67,15.26,437, حجم کم,22 %,138 % ,92 % ,75 % ,824740,42,110444,محصولات غذايي و آشاميدني به جز قند و شكر,خنثی,0,0,تحرک_مثبت,1,1,2,159,319,1,112,112,47,207,7.0,1405-06-04,12:03:27,1,1,0,0,0,0.5,0.0,0.0,0.5,0.5,0,1,-1,0.19999999999999998,ﯽﺜﻨﺧ
17617474823279712,آ س پ,16,27,8,17,0,6,25180,2.99,2.94,صف خرید,0,0,95,0.76,254,حجم متوسط0.9برابر,90 %,15 % ,74 % ,103 % ,6679995,70,48213,انبوه سازي، املاك و مستغلات,فروش  متوسط,0,0,تحرک_مثبت,0,2,33,198,6559,37,361,13370,-163,-6811,-2.0,1405-06-04,12:30:32,16,27,8,17,-11,0.5714285714285714,0.4444444444444444,0.0,1.411764705882353,2.642857142857143,0,1,-3,-0.3000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
59921975187856916,غشاذر,7,12,1,4,0,0,17910,0.84,1.69,مثبت,0,0,63,0.81,53, حجم کم,31 %,77 % ,71 % ,55 % ,10082460,42,110444,محصولات غذايي و آشاميدني به جز قند و شكر,فروش  ضعیف,0,0,تحرک_منفی,1,3,11,173,1910,14,178,2500,-5,-590,-0.5,1405-06-04,12:29:41,7,12,1,4,-5,0.5384615384615384,0.2,0.0,1.0,1.2307692307692308,0,1,-1,0.09999999999999998,ﯽﺜﻨﺧ
23557166059925779,فصبا,16,8,4,1,1,0,3009,2.98,2.94,صف خرید,0,1,60,5.67,3734,حجم متوسط1.53برابر,153 %,50 % ,96 % ,127 % ,35342255,27,512358,فلزات اساسي,خرید  قوی,0,0,تحرک_مثبت,4,0,37,284,10508,17,133,2277,151,8231,11.0,1405-06-04,11:25:59,16,8,4,1,8,1.7777777777777777,2.0,1.0,1.4705882352941178,1.0,3,3,-1,2.0,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
46878429508891351,نخريس,26,7,16,1,6,0,18980,2.15,0.54,مثبت,0,0,78,7.24,4720,حجم متوسط1.71برابر,171 %,83 % ,68 % ,47 % ,4820178,17,11096,منسوجات,فروش  متوسط rsi,0,0,تحرک_مثبت,0,0,30,347,10424,8,171,1370,176,9054,1.0,1405-06-04,12:30:57,26,7,16,1,19,3.25,8.0,6.0,2.6666666666666665,1.0,3,3,-3,1.6,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
25180702353416009,زدشت,14,21,5,7,0,1,10030,2.98,2.67,صف خرید,0,0,81,1.25,-452, حجم کم,43 %,49 % ,103 % ,132 % ,25314238,1,35200,زراعت و خدمات وابسته,فروش  متوسط,0,0,تحرک_مثبت,0,3,21,217,4576,25,188,4708,29,-132,0.0,1405-06-04,12:18:41,14,21,5,7,-7,0.6363636363636364,0.625,0.0,1.2666666666666666,1.5,0,0,-3,-0.5000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
18004480270695404,فمراد,7,15,1,1,0,1,3460,2.37,1.18,مثبت,0,0,74,0.7,-31,حجم متوسط1.67برابر,167 %,112 % ,150 % ,157 % ,8972684,27,512358,فلزات اساسي,فروش  متوسط,0,0,تحرک_مثبت,1,2,7,138,971,16,151,2423,-13,-1452,-3.0,1405-06-04,12:29:43,7,15,1,1,-8,0.4375,0.5,0.0,1.0,1.3125,0,0,-3,-0.6000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
71510396252618330,دبالك,14,11,3,6,0,2,13860,2.97,2.97,صف خرید,0,0,98,1.89,271, حجم کم,23 %,812 % ,8 % ,11 % ,14828860,43,-98707,مواد و محصولات دارويي,فروش  متوسط,0,0,تحرک_مثبت,0,3,21,183,3844,13,293,3809,-110,35,2.0,1405-06-04,10:01:26,14,11,3,6,3,1.1666666666666667,0.42857142857142855,0.0,1.1333333333333333,2.25,2,1,-3,0.6,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
22427604495160869,تمحركه,0,0,0,0,0,0,7630,1.87,1.87,صف خرید,0,0,70,2.88,119, حجم کم,86 %,229 % ,97 % ,112 % ,804242,29,64793,ماشين آلات و تجهيزات,فروش  متوسط rsi,0,0,تحرک_مثبت,1,1,0,0,0,0,0,0,0,0,5.0,1405-06-04,8:48:11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,-1,0.19999999999999998,ﯽﺜﻨﺧ
62603302940123327,ونيرو,6,2,5,0,0,0,2824,2.99,2.99,صف خرید,0,0,61,24.97,1250, حجم کم,82 %,169 % ,126 % ,0 % ,8635382,40,-10608,عرضه برق، گاز، بخاروآب گرم,خرید  متوسط,0,0,تحرک_مثبت,3,0,8,228,1824,2,150,301,78,1523,8.0,1405-06-04,11:31:40,6,2,5,0,4,2.0,5.0,0.0,1.5714285714285714,0.6666666666666666,2,3,-1,1.6,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
58931793851445922,ومعادن,66,64,42,26,15,4,2900,2.98,2.95,صف خرید,0,0,76,1.32,130310, حجم کم,82 %,88 % ,107 % ,117 % ,1462528719,13,243886,استخراج كانه هاي فلزي,فروش  متوسط rsi,0,0,تحرک_مثبت,0,2,665,292,194637,567,209,118722,83,75915,2.0,1405-06-04,12:24:51,66,64,42,26,2,1.0153846153846153,1.5555555555555556,3.0,2.7313432835820897,1.6923076923076923,1,3,-3,0.7999999999999997,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
18320128145045368,چاپ,33,0,18,0,2,0,18500,2.95,2.95,صف خرید,0,0,94,297.05,28677,حجم زیاد2.38برابر,238 %,71 % ,79 % ,62 % ,7472890,21,29491,محصولات كاغذي,فروش  قوی rsi,0,0,تحرک_مثبت,0,0,129,229,29639,0,0,0,229,29639,1.0,1405-06-04,12:28:38,33,0,18,0,33,33.0,18.0,2.0,1.7941176470588236,0.0,3,3,-3,1.6,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
36773155987365094,اعتلا,6,7,3,4,1,0,2353,1.38,0.69,مثبت,0,0,71,1.38,0,حجم متوسط1.1برابر,110 %,101 % ,60 % ,104 % ,10604989,56,223642,سرمايه گذاريها,فروش  متوسط,0,0,تحرک_مثبت,0,4,6,298,1790,7,207,1452,91,338,1.0,1405-06-04,12:29:44,6,7,3,4,-1,0.75,0.6,1.0,2.0,1.375,0,0,-3,-0.5000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
10411249540376641,ناما,20,22,2,9,0,0,4700,2.84,2.63,صف خرید,0,0,72,0.74,-4079,حجم متوسط0.96برابر,96 %,86 % ,125 % ,168 % ,33892425,34,214831,خودرو و ساخت قطعات,فروش  متوسط,0,0,تحرک_مثبت,0,3,23,164,3792,37,181,6723,-17,-2931,-2.0,1405-06-04,12:24:50,20,22,2,9,-2,0.8695652173913043,0.2,0.0,1.0476190476190477,1.3478260869565217,0,0,-3,-0.6000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
68488673556087148,فپنتا,22,3,5,2,0,0,36980,2.98,2.98,صف خرید,0,0,73,3.95,5022,حجم متوسط0.96برابر,96 %,78 % ,86 % ,102 % ,2380608,27,512358,فلزات اساسي,فروش  متوسط rsi,0,0,تحرک_مثبت,2,0,33,159,5269,3,231,694,-72,4575,2.0,1405-06-04,11:38:09,22,3,5,2,19,5.5,1.6666666666666667,0.0,1.173913043478261,1.25,3,3,-3,1.6,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
57600064931636077,وجامي,7,14,2,8,0,0,3020,2.3,0.47,مثبت,0,0,62,0.79,-1520,حجم متوسط1.13برابر,113 %,122 % ,253 % ,98 % ,12649258,56,223642,سرمايه گذاريها,فروش  ضعیف,0,0,تحرک_مثبت,2,1,7,171,1198,14,210,2944,-39,-1746,1.5,1405-06-04,12:28:12,7,14,2,8,-7,0.4666666666666667,0.2222222222222222,0.0,1.125,1.4666666666666666,0,0,-1,-0.2,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
41952318209464612,ولاناح,2,2,0,2,0,0,2460,2.97,2.97,صف خرید,0,0,0,1.81,144,حجم مشکوک17238863.0برابر,1723886300 %,0,0,0,0,58,7845,ساير واسطه گريهاي مالي,خنثی,0,0,تحرک_مثبت,3,0,4,193,773,2,354,708,-161,65,6.0,1405-06-04,11:15:51,2,2,0,2,0,0.6666666666666666,0.0,0.0,0.6666666666666666,1.3333333333333333,0,1,3,1.0000000000000002,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
22645269567765904,خيمن,15,16,4,5,0,2,5520,2.99,2.8,صف خرید,0,0,83,2.35,-8084, حجم کم,68 %,37 % ,41 % ,79 % ,67945801,34,214831,خودرو و ساخت قطعات,فروش  متوسط,0,0,تحرک_مثبت,0,4,44,184,8117,40,289,11582,-105,-3465,0.0,1405-06-04,12:20:54,15,16,4,5,-1,0.8823529411764706,0.6666666666666666,0.0,1.1875,1.8235294117647058,0,0,-3,-0.5000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
16553062355259729,بميلا,0,0,0,0,0,0,5770,2.85,2.85,صف خرید,0,0,44,8.0,0, حجم کم,6 %,77 % ,756 % ,23 % ,2903778,46,0,تجارت عمده فروشي به جز وسايل نقليه موتور,خنثی,0,0,تحرک_مثبت,0,2,0,0,0,0,0,0,0,0,6.0,1405-06-04,8:48:12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.30000000000000004,ﯽﺜﻨﺧ
71068313834275501,بگيلان,15,3,8,3,4,2,27660,2.98,2.76,صف خرید,0,0,79,11.68,-5926,حجم متوسط1.87برابر,187 %,45 % ,317 % ,791 % ,3843577,40,-10608,عرضه برق، گاز، بخاروآب گرم,فروش  متوسط rsi,0,0,تحرک_مثبت,0,1,30,278,8367,3,451,1354,-173,7013,2.0,1405-06-04,12:03:26,15,3,8,3,12,3.75,2.0,1.3333333333333333,2.6875,4.0,3,0,-3,0.7000000000000001,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
12777578088653944,وحكمت,20,22,6,6,1,2,1548,2.99,2.4,صف خرید,0,0,73,1.81,-109,حجم متوسط1.17برابر,117 %,155 % ,73 % ,212 % ,64688179,66,66233,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,فروش  متوسط,0,0,تحرک_مثبت,0,4,25,200,5024,28,188,5288,12,-264,0.0,1405-06-04,12:24:12,20,22,6,6,-2,0.8695652173913043,0.8571428571428571,0.3333333333333333,1.4761904761904763,1.6521739130434783,0,0,-3,-0.5000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
